x_m,y_m,w_tr_right_m,w_tr_left_m
1162.9,0,7.62,7.62
1164.4,0,7.62,7.62
1166,0,7.62,7.62
1167.5,0,7.62,7.62
1169,0,7.62,7.62
1170.5,0,7.62,7.62
1172.1,0,7.62,7.62
1173.6,0,7.62,7.62
1175.1,0,7.62,7.62
1176.6,0,7.62,7.62
1178.2,0,7.62,7.62
1179.7,0,7.62,7.62
1181.2,0,7.62,7.62
1182.7,0,7.62,7.62
1184.3,0,7.62,7.62
1185.8,0,7.62,7.62
1187.3,0,7.62,7.62
1188.8,0,7.62,7.62
1190.3,0,7.62,7.62
1191.9,0,7.62,7.62
1193.4,0,7.62,7.62
1194.9,0,7.62,7.62
1196.4,0,7.62,7.62
1198,0,7.62,7.62
1199.5,0,7.62,7.62
1201,0,7.62,7.62
1202.5,0,7.62,7.62
1204.1,0,7.62,7.62
1205.6,0,7.62,7.62
1207.1,0,7.62,7.62
1208.6,0,7.62,7.62
1210.2,0,7.62,7.62
1211.7,0,7.62,7.62
1213.2,0,7.62,7.62
1214.7,0,7.62,7.62
1216.3,0,7.62,7.62
1217.8,0,7.62,7.62
1219.3,0,7.62,7.62
1220.8,0,7.62,7.62
1222.4,0,7.62,7.62
1223.9,0,7.62,7.62
1225.4,0,7.62,7.62
1226.9,0,7.62,7.62
1228.4,0,7.62,7.62
1230,0,7.62,7.62
1231.5,0,7.62,7.62
1233,0,7.62,7.62
1234.5,0,7.62,7.62
1236.1,0,7.62,7.62
1237.6,0,7.62,7.62
1239.1,0,7.62,7.62
1240.6,0,7.62,7.62
1242.2,0,7.62,7.62
1243.7,0,7.62,7.62
1245.2,0,7.62,7.62
1246.7,0,7.62,7.62
1248.3,0,7.62,7.62
1249.8,0,7.62,7.62
1251.3,0,7.62,7.62
1252.8,0,7.62,7.62
1254.4,0,7.62,7.62
1255.9,0,7.62,7.62
1257.4,0,7.62,7.62
1258.9,0,7.62,7.62
1260.5,0,7.62,7.62
1262,0,7.62,7.62
1263.5,0.0045339,9.144,9.144
1265,0.018135,9.144,9.144
1266.5,0.040804,9.144,9.144
1268.1,0.072539,9.144,9.144
1269.6,0.11334,9.144,9.144
1271.1,0.1632,9.144,9.144
1272.6,0.22213,9.144,9.144
1274.2,0.29011,9.144,9.144
1275.7,0.36716,9.144,9.144
1277.2,0.45327,9.144,9.144
1278.7,0.5484,9.144,9.144
1280.3,0.65261,9.144,9.144
1281.8,0.76584,9.144,9.144
1283.3,0.88813,9.144,9.144
1284.8,1.0194,9.144,9.144
1286.3,1.1598,9.144,9.144
1287.8,1.3092,9.144,9.144
1289.4,1.4676,9.144,9.144
1290.9,1.635,9.144,9.144
1292.4,1.8114,9.144,9.144
1293.9,1.9968,9.144,9.144
1295.4,2.1913,9.144,9.144
1296.9,2.3947,9.144,9.144
1298.4,2.6071,9.144,9.144
1299.9,2.8285,9.144,9.144
1301.4,3.0587,9.144,9.144
1303,3.2982,9.144,9.144
1304.5,3.5463,9.144,9.144
1305.9,3.8036,9.144,9.144
1307.4,4.0697,9.144,9.144
1309,4.3446,9.144,9.144
1310.5,4.6287,9.144,9.144
1312,4.9216,9.144,9.144
1313.4,5.2234,9.144,9.144
1314.9,5.5339,9.144,9.144
1316.4,5.8534,9.144,9.144
1317.9,6.182,9.144,9.144
1319.4,6.5191,9.144,9.144
1320.9,6.865,9.144,9.144
1322.4,7.2201,9.144,9.144
1323.8,7.5837,9.144,9.144
1325.3,7.9562,9.144,9.144
1326.8,8.3375,9.144,9.144
1328.3,8.7276,9.144,9.144
1329.8,9.1263,9.144,9.144
1331.2,9.5338,9.144,9.144
1332.7,9.9502,9.144,9.144
1334.1,10.375,9.144,9.144
1335.6,10.809,9.144,9.144
1337.1,11.251,9.144,9.144
1338.5,11.702,9.144,9.144
1340,12.162,9.144,9.144
1341.4,12.631,9.144,9.144
1342.9,13.108,9.144,9.144
1344.3,13.593,9.144,9.144
1345.8,14.087,9.144,9.144
1347.2,14.59,9.144,9.144
1348.6,15.101,9.144,9.144
1350.1,15.621,9.144,9.144
1351.5,16.15,9.144,9.144
1352.9,16.686,9.144,9.144
1354.3,17.232,9.144,9.144
1355.8,17.785,9.144,9.144
1357.2,18.347,9.144,9.144
1358.6,18.918,9.144,9.144
1360,19.497,9.144,9.144
1361.4,20.084,9.144,9.144
1362.8,20.68,9.144,9.144
1364.2,21.284,9.144,9.144
1365.6,21.897,9.144,9.144
1367,22.517,9.144,9.144
1368.4,23.147,9.144,9.144
1369.8,23.784,9.144,9.144
1371.1,24.429,9.144,9.144
1372.5,25.083,9.144,9.144
1373.9,25.745,9.144,9.144
1375.3,26.415,9.144,9.144
1376.6,27.093,9.144,9.144
1378,27.779,9.144,9.144
1379.3,28.473,9.144,9.144
1380.7,29.175,9.144,9.144
1382.1,29.886,9.144,9.144
1383.4,30.605,9.144,9.144
1384.7,31.33,9.144,9.144
1386.1,32.065,9.144,9.144
1387.4,32.809,9.144,9.144
1388.7,33.558,9.144,9.144
1390,34.314,9.144,9.144
1391.4,35.082,9.144,9.144
1392.7,35.857,9.144,9.144
1394,36.637,9.144,9.144
1395.3,37.426,9.144,9.144
1396.6,38.222,9.144,9.144
1397.9,39.027,9.144,9.144
1399.2,39.84,9.144,9.144
1400.5,40.66,9.144,9.144
1401.7,41.489,9.144,9.144
1403,42.325,9.144,9.144
1404.3,43.166,9.144,9.144
1405.6,44.016,9.144,9.144
1406.8,44.876,9.144,9.144
1408.1,45.741,9.144,9.144
1409.3,46.613,9.144,9.144
1410.6,47.494,9.144,9.144
1411.8,48.381,9.144,9.144
1413,49.277,9.144,9.144
1414.2,50.179,9.144,9.144
1415.5,51.088,9.144,9.144
1416.7,52.005,9.144,9.144
1417.9,52.929,9.144,9.144
1419.1,53.861,9.144,9.144
1420.3,54.8,9.144,9.144
1421.5,55.745,9.144,9.144
1422.7,56.699,9.144,9.144
1423.9,57.656,9.144,9.144
1425.1,58.625,9.144,9.144
1426.2,59.598,9.144,9.144
1427.4,60.579,9.144,9.144
1428.6,61.567,9.144,9.144
1429.7,62.56,9.144,9.144
1430.9,63.563,9.144,9.144
1432,64.572,9.144,9.144
1433.1,65.587,9.144,9.144
1434.3,66.608,9.144,9.144
1435.4,67.635,9.144,9.144
1436.5,68.671,9.144,9.144
1437.6,69.714,9.144,9.144
1438.7,70.762,9.144,9.144
1439.8,71.817,9.144,9.144
1440.9,72.878,9.144,9.144
1442,73.944,9.144,9.144
1443.1,75.02,9.144,9.144
1444.2,76.102,9.144,9.144
1445.2,77.188,9.144,9.144
1446.3,78.282,9.144,9.144
1447.3,79.382,9.144,9.144
1448.4,80.489,9.144,9.144
1449.4,81.601,9.144,9.144
1450.5,82.72,9.144,9.144
1451.5,83.844,9.144,9.144
1452.5,84.975,9.144,9.144
1453.5,86.112,9.144,9.144
1454.5,87.252,9.144,9.144
1455.5,88.401,9.144,9.144
1456.5,89.556,9.144,9.144
1457.5,90.718,9.144,9.144
1458.5,91.885,9.144,9.144
1459.5,93.055,9.144,9.144
1460.4,94.235,9.144,9.144
1461.4,95.418,9.144,9.144
1462.4,96.606,9.144,9.144
1463.3,97.804,9.144,9.144
1464.3,99.002,9.144,9.144
1465.2,100.21,9.144,9.144
1466.1,101.42,9.144,9.144
1467,102.64,9.144,9.144
1467.9,103.86,9.144,9.144
1468.8,105.09,9.144,9.144
1469.7,106.32,9.144,9.144
1470.6,107.56,9.144,9.144
1471.5,108.81,9.144,9.144
1472.4,110.05,9.144,9.144
1473.2,111.31,9.144,9.144
1474.1,112.57,9.144,9.144
1475,113.83,9.144,9.144
1475.8,115.1,9.144,9.144
1476.6,116.38,9.144,9.144
1477.5,117.66,9.144,9.144
1478.3,118.94,9.144,9.144
1479.1,120.23,9.144,9.144
1479.9,121.53,9.144,9.144
1480.7,122.83,9.144,9.144
1481.5,124.13,9.144,9.144
1482.2,125.44,9.144,9.144
1483,126.75,9.144,9.144
1483.8,128.07,9.144,9.144
1484.6,129.39,9.144,9.144
1485.3,130.72,9.144,9.144
1486.1,132.05,9.144,9.144
1486.8,133.38,9.144,9.144
1487.5,134.72,9.144,9.144
1488.2,136.07,9.144,9.144
1488.9,137.42,9.144,9.144
1489.6,138.77,9.144,9.144
1490.3,140.12,9.144,9.144
1491,141.49,9.144,9.144
1491.7,142.85,9.144,9.144
1492.4,144.22,9.144,9.144
1493,145.59,9.144,9.144
1493.7,146.97,9.144,9.144
1494.3,148.35,9.144,9.144
1495,149.73,9.144,9.144
1495.6,151.12,9.144,9.144
1496.2,152.51,9.144,9.144
1496.8,153.91,9.144,9.144
1497.4,155.31,9.144,9.144
1498,156.71,9.144,9.144
1498.6,158.12,9.144,9.144
1499.2,159.53,9.144,9.144
1499.8,160.94,9.144,9.144
1500.3,162.35,9.144,9.144
1500.9,163.78,9.144,9.144
1501.4,165.2,9.144,9.144
1502,166.63,9.144,9.144
1502.5,168.05,9.144,9.144
1503,169.49,9.144,9.144
1503.5,170.92,9.144,9.144
1504,172.36,9.144,9.144
1504.5,173.8,9.144,9.144
1505,175.25,9.144,9.144
1505.5,176.7,9.144,9.144
1506,178.15,9.144,9.144
1506.4,179.6,9.144,9.144
1506.9,181.05,9.144,9.144
1507.3,182.51,9.144,9.144
1507.7,183.97,9.144,9.144
1508.2,185.44,9.144,9.144
1508.6,186.9,9.144,9.144
1509,188.37,9.144,9.144
1509.4,189.84,9.144,9.144
1509.8,191.32,9.144,9.144
1510.2,192.79,9.144,9.144
1510.5,194.27,9.144,9.144
1510.9,195.75,9.144,9.144
1511.3,197.23,9.144,9.144
1511.6,198.71,9.144,9.144
1511.9,200.2,9.144,9.144
1512.3,201.69,9.144,9.144
1512.6,203.18,9.144,9.144
1512.9,204.67,9.144,9.144
1513.2,206.17,9.144,9.144
1513.5,207.66,9.144,9.144
1513.8,209.16,9.144,9.144
1514,210.66,9.144,9.144
1514.3,212.16,9.144,9.144
1514.6,213.66,9.144,9.144
1514.8,215.16,9.144,9.144
1515,216.67,9.144,9.144
1515.3,218.18,9.144,9.144
1515.5,219.68,9.144,9.144
1515.7,221.19,9.144,9.144
1515.9,222.7,9.144,9.144
1516.1,224.21,9.144,9.144
1516.3,225.73,9.144,9.144
1516.5,227.24,9.144,9.144
1516.7,228.76,9.144,9.144
1516.8,230.27,9.144,9.144
1517,231.79,9.144,9.144
1517.1,233.31,9.144,9.144
1517.2,234.82,9.144,9.144
1517.4,236.34,9.144,9.144
1517.4,237.86,9.144,9.144
1517.6,239.38,9.144,9.144
1517.7,240.9,9.144,9.144
1517.8,242.43,9.144,9.144
1517.8,243.95,9.144,9.144
1517.9,245.47,9.144,9.144
1517.9,246.99,9.144,9.144
1518,248.52,9.144,9.144
1518,250.04,9.144,9.144
1518.1,251.56,9.144,9.144
1518.1,253.09,9.144,9.144
1518.1,254.61,9.144,9.144
1518.1,256.14,9.144,9.144
1518.1,257.66,7.62,7.62
1518.1,259.18,7.62,7.62
1518.1,260.71,7.62,7.62
1518.1,262.23,7.62,7.62
1518.1,263.76,7.62,7.62
1518.1,265.28,7.62,7.62
1518.1,266.8,7.62,7.62
1518.1,268.33,7.62,7.62
1518.1,269.85,7.62,7.62
1518.1,271.38,7.62,7.62
1518.1,272.9,7.62,7.62
1518.1,274.42,7.62,7.62
1518.1,275.95,7.62,7.62
1518.1,277.47,7.62,7.62
1518.1,279,7.62,7.62
