x_m,y_m,w_tr_right_m,w_tr_left_m
0,-256.14,7.62,7.62
0,-257.66,7.62,7.62
0,-259.18,7.62,7.62
0,-260.71,7.62,7.62
0,-262.23,7.62,7.62
0,-263.76,7.62,7.62
0,-265.28,7.62,7.62
0,-266.8,7.62,7.62
0,-268.33,7.62,7.62
0,-269.85,7.62,7.62
0,-271.38,7.62,7.62
0,-272.9,7.62,7.62
0,-274.42,7.62,7.62
0,-275.95,7.62,7.62
0,-277.47,7.62,7.62
0,-279,7.62,7.62
0,-280.52,7.62,7.62
0,-282.04,7.62,7.62
0,-283.57,7.62,7.62
0,-285.09,7.62,7.62
0,-286.62,7.62,7.62
0,-288.14,7.62,7.62
0,-289.66,7.62,7.62
0,-291.19,7.62,7.62
0,-292.71,7.62,7.62
0,-294.24,7.62,7.62
0,-295.76,7.62,7.62
0,-297.28,7.62,7.62
0,-298.81,7.62,7.62
0,-300.33,7.62,7.62
0,-301.86,7.62,7.62
0,-303.38,7.62,7.62
0,-304.9,7.62,7.62
0,-306.43,7.62,7.62
0,-307.95,7.62,7.62
0,-309.48,7.62,7.62
0,-311,7.62,7.62
0,-312.52,7.62,7.62
0,-314.05,7.62,7.62
0,-315.57,7.62,7.62
0,-317.1,7.62,7.62
0,-318.62,7.62,7.62
0,-320.14,7.62,7.62
0,-321.67,7.62,7.62
0,-323.19,7.62,7.62
0,-324.72,7.62,7.62
0,-326.24,7.62,7.62
0,-327.76,7.62,7.62
0,-329.29,7.62,7.62
0,-330.81,7.62,7.62
0,-332.34,7.62,7.62
0,-333.86,7.62,7.62
0,-335.38,7.62,7.62
0,-336.91,7.62,7.62
0,-338.43,7.62,7.62
0,-339.96,7.62,7.62
0,-341.48,7.62,7.62
0,-343,7.62,7.62
0,-344.53,7.62,7.62
0,-346.05,7.62,7.62
0,-347.58,7.62,7.62
0,-349.1,7.62,7.62
0,-350.62,7.62,7.62
0,-352.15,7.62,7.62
0,-353.67,7.62,7.62
0,-355.2,7.62,7.62
0,-356.72,7.62,7.62
0,-358.24,7.62,7.62
0,-359.77,7.62,7.62
0,-361.29,7.62,7.62
0,-362.82,7.62,7.62
0,-364.34,7.62,7.62
0,-365.86,7.62,7.62
0,-367.39,7.62,7.62
0,-368.91,7.62,7.62
0,-370.44,7.62,7.62
0,-371.96,7.62,7.62
0,-373.48,7.62,7.62
0,-375.01,7.62,7.62
0,-376.53,7.62,7.62
0,-378.06,7.62,7.62
0,-379.58,7.62,7.62
0,-381.1,7.62,7.62
0,-382.63,7.62,7.62
0,-384.15,7.62,7.62
0,-385.68,7.62,7.62
0,-387.2,7.62,7.62
0,-388.72,7.62,7.62
0,-390.25,7.62,7.62
0,-391.77,7.62,7.62
0,-393.3,7.62,7.62
0,-394.82,7.62,7.62
0,-396.34,7.62,7.62
0,-397.87,7.62,7.62
0,-399.39,7.62,7.62
0,-400.92,7.62,7.62
0,-402.44,7.62,7.62
0,-403.96,7.62,7.62
0,-405.49,7.62,7.62
0,-407.01,7.62,7.62
0,-408.54,7.62,7.62
0,-410.06,7.62,7.62
0,-411.58,7.62,7.62
0,-413.11,7.62,7.62
0,-414.63,7.62,7.62
0,-416.16,7.62,7.62
0,-417.68,7.62,7.62
0,-419.2,7.62,7.62
0,-420.73,7.62,7.62
0,-422.25,7.62,7.62
0,-423.78,7.62,7.62
0,-425.3,7.62,7.62
0,-426.82,7.62,7.62
0,-428.35,7.62,7.62
0,-429.87,7.62,7.62
0,-431.4,7.62,7.62
0,-432.92,7.62,7.62
0,-434.44,7.62,7.62
0,-435.97,7.62,7.62
0,-437.49,7.62,7.62
0,-439.02,7.62,7.62
0,-440.54,7.62,7.62
0,-442.06,7.62,7.62
0,-443.59,7.62,7.62
0,-445.11,7.62,7.62
0,-446.64,7.62,7.62
0,-448.16,7.62,7.62
0,-449.68,7.62,7.62
0,-451.21,7.62,7.62
0,-452.73,7.62,7.62
0,-454.26,7.62,7.62
0,-455.78,7.62,7.62
0,-457.3,7.62,7.62
0,-458.83,7.62,7.62
0,-460.35,7.62,7.62
0,-461.88,7.62,7.62
0,-463.4,7.62,7.62
0,-464.92,7.62,7.62
0,-466.45,7.62,7.62
0,-467.97,7.62,7.62
0,-469.5,7.62,7.62
0,-471.02,7.62,7.62
0,-472.54,7.62,7.62
0,-474.07,7.62,7.62
0,-475.59,7.62,7.62
0,-477.12,7.62,7.62
0,-478.64,7.62,7.62
0,-480.16,7.62,7.62
0,-481.69,7.62,7.62
0,-483.21,7.62,7.62
0,-484.74,7.62,7.62
0,-486.26,7.62,7.62
0,-487.78,7.62,7.62
0,-489.31,7.62,7.62
0,-490.83,7.62,7.62
0,-492.36,7.62,7.62
0,-493.88,7.62,7.62
0,-495.4,7.62,7.62
0,-496.93,7.62,7.62
0,-498.45,7.62,7.62
0,-499.98,7.62,7.62
0,-501.5,7.62,7.62
0,-503.02,7.62,7.62
0,-504.55,7.62,7.62
0,-506.07,7.62,7.62
0,-507.6,7.62,7.62
0,-509.12,7.62,7.62
0,-510.64,7.62,7.62
0,-512.17,7.62,7.62
0,-513.69,7.62,7.62
0,-515.22,7.62,7.62
0,-516.74,7.62,7.62
0,-518.26,7.62,7.62
0,-519.79,7.62,7.62
0,-521.31,7.62,7.62
0,-522.84,7.62,7.62
0,-524.36,7.62,7.62
0,-525.88,7.62,7.62
0,-527.41,7.62,7.62
0,-528.93,7.62,7.62
0,-530.46,7.62,7.62
0,-531.98,7.62,7.62
0,-533.5,7.62,7.62
0,-535.03,7.62,7.62
0,-536.55,7.62,7.62
0,-538.08,7.62,7.62
0,-539.6,7.62,7.62
0,-541.12,7.62,7.62
0,-542.65,7.62,7.62
0,-544.17,7.62,7.62
0,-545.7,7.62,7.62
0,-547.22,7.62,7.62
0,-548.74,7.62,7.62
0,-550.27,7.62,7.62
0,-551.79,7.62,7.62
0,-553.32,7.62,7.62
0,-554.84,7.62,7.62
0,-556.36,7.62,7.62
0,-557.89,7.62,7.62
0,-559.41,7.62,7.62
0,-560.94,7.62,7.62
0,-562.46,7.62,7.62
0,-563.98,7.62,7.62
0,-565.51,7.62,7.62
0,-567.03,7.62,7.62
0,-568.56,7.62,7.62
0,-570.08,7.62,7.62
0,-571.6,7.62,7.62
0,-573.13,7.62,7.62
0,-574.65,7.62,7.62
0,-576.18,7.62,7.62
0,-577.7,7.62,7.62
0,-579.22,7.62,7.62
0,-580.75,7.62,7.62
0,-582.27,7.62,7.62
0,-583.8,7.62,7.62
0,-585.32,7.62,7.62
0,-586.84,7.62,7.62
0,-588.37,7.62,7.62
0,-589.89,7.62,7.62
0,-591.42,7.62,7.62
0,-592.94,7.62,7.62
0,-594.46,7.62,7.62
0,-595.99,7.62,7.62
0,-597.51,7.62,7.62
0,-599.04,7.62,7.62
0,-600.56,7.62,7.62
0,-602.08,7.62,7.62
0,-603.61,7.62,7.62
0,-605.13,7.62,7.62
0,-606.66,7.62,7.62
0,-608.18,7.62,7.62
0,-609.7,7.62,7.62
0,-611.23,7.62,7.62
0,-612.75,7.62,7.62
0,-614.28,7.62,7.62
0,-615.8,7.62,7.62
