x_m,y_m,w_tr_right_m,w_tr_left_m
0.48,0.296,5,5
0.58,0.296,5,5
0.68,0.296,5,5
0.78,0.296,5,5
0.88,0.296,5,5
0.98,0.296,5,5
1.08,0.296,5,5
1.18,0.296,5,5
1.28,0.296,5,5
1.362,0.301,5,5
1.441,0.327,5,5
1.489,0.375,5,5
1.519,0.436,5,5
1.528,0.533,5,5
1.528,0.633,5,5
1.528,0.733,5,5
1.528,0.833,5,5
1.528,0.933,5,5
1.528,1.033,5,5
1.528,1.133,5,5
1.528,1.233,5,5
1.528,1.333,5,5
1.528,1.433,5,5
1.528,1.533,5,5
1.528,1.633,5,5
1.515,1.601,5,5
1.478,1.671,5,5
1.42,1.719,5,5
1.351,1.734,5,5
1.275,1.74,5,5
1.175,1.74,5,5
1.075,1.74,5,5
0.975,1.74,5,5
0.875,1.74,5,5
0.775,1.74,5,5
0.675,1.74,5,5
0.575,1.74,5,5
0.475,1.74,5,5
0.39,1.719,5,5
0.321,1.664,5,5
0.282,1.585,5,5
0.28,1.496,5,5
0.28,1.396,5,5
0.28,1.296,5,5
0.28,1.196,5,5
0.28,1.096,5,5
0.28,0.996,5,5
0.28,0.896,5,5
0.28,0.796,5,5
0.28,0.696,5,5
0.28,0.596,5,5
0.28,0.496,5,5
0.295,0.42,5,5
0.339,0.355,5,5
0.403,0.312,5,5
