x_m,y_m,w_tr_right_m,w_tr_left_m
4.8,2.96,5,5
4.9,2.96,5,5
5,2.96,5,5
5.1,2.96,5,5
5.2,2.96,5,5
5.3,2.96,5,5
5.4,2.96,5,5
5.5,2.96,5,5
5.6,2.96,5,5
5.7,2.96,5,5
5.8,2.96,5,5
5.9,2.96,5,5
6,2.96,5,5
6.1,2.96,5,5
6.2,2.96,5,5
6.3,2.96,5,5
6.4,2.96,5,5
6.5,2.96,5,5
6.6,2.96,5,5
6.7,2.96,5,5
6.8,2.96,5,5
6.9,2.96,5,5
7,2.96,5,5
7.1,2.96,5,5
7.2,2.96,5,5
7.3,2.96,5,5
7.4,2.96,5,5
7.5,2.96,5,5
7.6,2.96,5,5
7.7,2.96,5,5
7.8,2.96,5,5
7.9,2.96,5,5
8,2.96,5,5
8.1,2.96,5,5
8.2,2.96,5,5
8.3,2.96,5,5
8.4,2.96,5,5
8.5,2.96,5,5
8.6,2.96,5,5
8.7,2.96,5,5
8.8,2.96,5,5
8.9,2.96,5,5
9,2.96,5,5
9.1,2.96,5,5
9.2,2.96,5,5
9.3,2.96,5,5
9.4,2.96,5,5
9.5,2.96,5,5
9.6,2.96,5,5
9.7,2.96,5,5
9.8,2.96,5,5
9.9,2.96,5,5
10,2.96,5,5
10.1,2.96,5,5
10.2,2.96,5,5
10.3,2.96,5,5
10.4,2.96,5,5
10.5,2.96,5,5
10.6,2.96,5,5
10.7,2.96,5,5
10.8,2.96,5,5
10.9,2.96,5,5
11,2.96,5,5
11.1,2.96,5,5
11.2,2.96,5,5
11.3,2.96,5,5
11.4,2.96,5,5
11.5,2.96,5,5
11.6,2.96,5,5
11.7,2.96,5,5
11.8,2.96,5,5
11.9,2.96,5,5
12,2.96,5,5
12.1,2.96,5,5
12.2,2.96,5,5
12.3,2.96,5,5
12.4,2.96,5,5
12.5,2.96,5,5
12.6,2.96,5,5
12.7,2.96,5,5
12.8,2.96,5,5
12.9,2.96,5,5
13,2.96,5,5
13.1,2.96,5,5
13.2,2.96,5,5
13.3,2.96,5,5
13.4,2.96,5,5
13.52,2.97,5,5
13.63,2.99,5,5
13.74,3.02,5,5
13.85,3.06,5,5
13.92,3.1,5,5
14.06,3.14,5,5
14.17,3.2,5,5
14.27,3.25,5,5
14.36,3.32,5,5
14.45,3.39,5,5
14.54,3.46,5,5
14.62,3.54,5,5
14.7,3.62,5,5
14.78,3.71,5,5
14.84,3.81,5,5
14.91,3.9,5,5
14.97,4,5,5
15.02,4.1,5,5
15.06,4.21,5,5
15.1,4.32,5,5
15.14,4.43,5,5
15.16,4.54,5,5
15.19,4.65,5,5
15.2,4.76,5,5
15.2,4.86,5,5
15.2,4.96,5,5
15.2,5.06,5,5
15.2,5.16,5,5
15.2,5.26,5,5
15.2,5.36,5,5
15.2,5.46,5,5
15.2,5.56,5,5
15.2,5.66,5,5
15.2,5.76,5,5
15.2,5.86,5,5
15.2,5.96,5,5
15.2,6.06,5,5
15.2,6.16,5,5
15.2,6.26,5,5
15.2,6.36,5,5
15.2,6.46,5,5
15.2,6.56,5,5
15.2,6.66,5,5
15.2,6.76,5,5
15.2,6.86,5,5
15.2,6.96,5,5
15.2,7.06,5,5
15.2,7.16,5,5
15.2,7.26,5,5
15.2,7.36,5,5
15.2,7.46,5,5
15.2,7.56,5,5
15.2,7.66,5,5
15.2,7.76,5,5
15.2,7.86,5,5
15.2,7.96,5,5
15.2,8.06,5,5
15.2,8.16,5,5
15.2,8.26,5,5
15.2,8.36,5,5
15.2,8.46,5,5
15.2,8.56,5,5
15.2,8.66,5,5
15.2,8.76,5,5
15.2,8.86,5,5
15.2,8.96,5,5
15.2,9.06,5,5
15.2,9.16,5,5
15.2,9.26,5,5
15.2,9.36,5,5
15.2,9.46,5,5
15.2,9.56,5,5
15.2,9.66,5,5
15.2,9.76,5,5
15.2,9.86,5,5
15.2,9.96,5,5
15.2,10.06,5,5
15.2,10.16,5,5
15.2,10.26,5,5
15.2,10.36,5,5
15.2,10.46,5,5
15.2,10.56,5,5
15.2,10.66,5,5
15.2,10.76,5,5
15.2,10.86,5,5
15.2,10.96,5,5
15.2,11.06,5,5
15.2,11.16,5,5
15.2,11.26,5,5
15.2,11.36,5,5
15.2,11.46,5,5
15.2,11.56,5,5
15.2,11.66,5,5
15.2,11.76,5,5
15.2,11.86,5,5
15.2,11.96,5,5
15.2,12.06,5,5
15.2,12.16,5,5
15.2,12.26,5,5
15.2,12.36,5,5
15.2,12.46,5,5
15.2,12.56,5,5
15.2,12.66,5,5
15.2,12.76,5,5
15.2,12.86,5,5
15.2,12.96,5,5
15.2,13.06,5,5
15.2,13.16,5,5
15.2,13.26,5,5
15.2,13.36,5,5
15.2,13.46,5,5
15.2,13.56,5,5
15.2,13.66,5,5
15.2,13.76,5,5
15.2,13.86,5,5
15.2,13.96,5,5
15.2,14.06,5,5
15.2,14.16,5,5
15.2,14.26,5,5
15.2,14.36,5,5
15.2,14.46,5,5
15.2,14.56,5,5
15.2,14.66,5,5
15.2,14.76,5,5
15.2,14.86,5,5
15.2,14.96,5,5
15.2,15.06,5,5
15.2,15.16,5,5
15.2,15.26,5,5
15.2,15.36,5,5
15.2,15.46,5,5
15.2,15.58,5,5
15.19,15.7,5,5
15.17,15.81,5,5
15.14,15.92,5,5
15.1,16.03,5,5
15.06,16.14,5,5
15.01,16.24,5,5
14.96,16.35,5,5
14.9,16.45,5,5
14.84,16.54,5,5
14.77,16.63,5,5
14.69,16.72,5,5
14.61,16.8,5,5
14.53,16.88,5,5
14.44,16.96,5,5
14.35,17.02,5,5
14.25,17.09,5,5
14.15,17.15,5,5
14.05,17.2,5,5
13.94,17.24,5,5
13.84,17.28,5,5
13.73,17.32,5,5
13.61,17.34,5,5
13.5,17.36,5,5
13.4,17.36,5,5
13.3,17.36,5,5
13.2,17.36,5,5
13.1,17.36,5,5
13,17.36,5,5
12.9,17.36,5,5
12.8,17.36,5,5
