x_m,y_m,w_tr_right_m,w_tr_left_m
0.48,0.296,0.25,0.16
0.49,0.296,0.25,0.16
0.5,0.296,0.25,0.16
0.51,0.296,0.25,0.16
0.52,0.296,0.25,0.16
0.53,0.296,0.25,0.16
0.54,0.296,0.25,0.16
0.55,0.296,0.25,0.16
0.56,0.296,0.25,0.16
0.57,0.296,0.25,0.16
0.58,0.296,0.25,0.16
0.59,0.296,0.25,0.16
0.6,0.296,0.25,0.16
0.61,0.296,0.25,0.16
0.62,0.296,0.25,0.16
0.63,0.296,0.25,0.16
0.64,0.296,0.25,0.16
0.65,0.296,0.25,0.16
0.66,0.296,0.25,0.16
0.67,0.296,0.25,0.16
0.68,0.296,0.25,0.16
0.69,0.296,0.25,0.16
0.7,0.296,0.25,0.16
0.71,0.296,0.25,0.16
0.72,0.296,0.25,0.16
0.73,0.296,0.25,0.16
0.74,0.296,0.25,0.16
0.75,0.296,0.25,0.16
0.76,0.296,0.25,0.16
0.77,0.296,0.25,0.16
0.78,0.296,0.25,0.16
0.79,0.296,0.25,0.16
0.8,0.296,0.25,0.16
0.81,0.296,0.25,0.16
0.82,0.296,0.25,0.16
0.83,0.296,0.25,0.16
0.84,0.296,0.25,0.16
0.85,0.296,0.25,0.16
0.86,0.296,0.25,0.16
0.87,0.296,0.25,0.16
0.88,0.296,0.25,0.16
0.89,0.296,0.25,0.16
0.9,0.296,0.25,0.16
0.91,0.296,0.25,0.16
0.92,0.296,0.25,0.16
0.93,0.296,0.25,0.16
0.94,0.296,0.25,0.16
0.95,0.296,0.25,0.16
0.96,0.296,0.25,0.16
0.97,0.296,0.25,0.16
0.98,0.296,0.25,0.16
0.99,0.296,0.25,0.16
1,0.296,0.25,0.16
1.01,0.296,0.25,0.16
1.02,0.296,0.25,0.16
1.03,0.296,0.25,0.16
1.04,0.296,0.25,0.16
1.05,0.296,0.25,0.16
1.06,0.296,0.25,0.16
1.07,0.296,0.25,0.16
1.08,0.296,0.25,0.16
1.09,0.296,0.25,0.16
1.1,0.296,0.25,0.16
1.11,0.296,0.25,0.16
1.12,0.296,0.25,0.16
1.13,0.296,0.25,0.16
1.14,0.296,0.25,0.16
1.15,0.296,0.25,0.16
1.16,0.296,0.25,0.16
1.17,0.296,0.25,0.16
1.18,0.296,0.25,0.16
1.19,0.296,0.25,0.16
1.2,0.296,0.25,0.16
1.21,0.296,0.25,0.16
1.22,0.296,0.25,0.16
1.23,0.296,0.25,0.16
1.24,0.296,0.25,0.16
1.25,0.296,0.25,0.16
1.26,0.296,0.25,0.16
1.27,0.296,0.25,0.16
1.28,0.296,0.25,0.16
1.29,0.296,0.25,0.16
1.3,0.296,0.25,0.16
1.31,0.296,0.25,0.16
1.32,0.296,0.25,0.16
1.33,0.296,0.25,0.16
1.34,0.296,0.25,0.16
1.352,0.297,0.25,0.16
1.363,0.299,0.25,0.16
1.374,0.302,0.25,0.16
1.385,0.306,0.25,0.16
1.392,0.31,0.25,0.16
1.406,0.314,0.25,0.16
1.417,0.32,0.25,0.16
1.427,0.325,0.25,0.16
1.436,0.332,0.25,0.16
1.445,0.339,0.25,0.16
1.454,0.346,0.25,0.16
1.462,0.354,0.25,0.16
1.47,0.362,0.25,0.16
1.478,0.371,0.25,0.16
1.484,0.381,0.25,0.16
1.491,0.39,0.25,0.16
1.497,0.4,0.25,0.16
1.502,0.41,0.25,0.16
1.506,0.421,0.25,0.16
1.51,0.432,0.25,0.16
1.514,0.443,0.25,0.16
1.516,0.454,0.25,0.16
1.519,0.465,0.25,0.16
1.52,0.476,0.25,0.16
1.52,0.486,0.25,0.16
1.52,0.496,0.25,0.16
1.52,0.506,0.25,0.16
1.52,0.516,0.25,0.16
1.52,0.526,0.25,0.16
1.52,0.536,0.25,0.16
1.52,0.546,0.25,0.16
1.52,0.556,0.25,0.16
1.52,0.566,0.25,0.16
1.52,0.576,0.25,0.16
1.52,0.586,0.25,0.16
1.52,0.596,0.25,0.16
1.52,0.606,0.25,0.16
1.52,0.616,0.25,0.16
1.52,0.626,0.25,0.16
1.52,0.636,0.25,0.16
1.52,0.646,0.25,0.16
1.52,0.656,0.25,0.16
1.52,0.666,0.25,0.16
