x_m,y_m,w_tr_right_m,w_tr_left_m
48,29.6,5,5
49,29.6,5,5
50,29.6,5,5
51,29.6,5,5
52,29.6,5,5
53,29.6,5,5
54,29.6,5,5
55,29.6,5,5
56,29.6,5,5
57,29.6,5,5
58,29.6,5,5
59,29.6,5,5
60,29.6,5,5
61,29.6,5,5
62,29.6,5,5
63,29.6,5,5
64,29.6,5,5
65,29.6,5,5
66,29.6,5,5
67,29.6,5,5
68,29.6,5,5
69,29.6,5,5
70,29.6,5,5
71,29.6,5,5
72,29.6,5,5
73,29.6,5,5
74,29.6,5,5
75,29.6,5,5
76,29.6,5,5
77,29.6,5,5
78,29.6,5,5
79,29.6,5,5
80,29.6,5,5
81,29.6,5,5
82,29.6,5,5
83,29.6,5,5
84,29.6,5,5
85,29.6,5,5
86,29.6,5,5
87,29.6,5,5
88,29.6,5,5
89,29.6,5,5
90,29.6,5,5
91,29.6,5,5
92,29.6,5,5
93,29.6,5,5
94,29.6,5,5
95,29.6,5,5
96,29.6,5,5
97,29.6,5,5
98,29.6,5,5
99,29.6,5,5
100,29.6,5,5
101,29.6,5,5
102,29.6,5,5
103,29.6,5,5
104,29.6,5,5
105,29.6,5,5
106,29.6,5,5
107,29.6,5,5
108,29.6,5,5
109,29.6,5,5
110,29.6,5,5
111,29.6,5,5
112,29.6,5,5
113,29.6,5,5
114,29.6,5,5
115,29.6,5,5
116,29.6,5,5
117,29.6,5,5
118,29.6,5,5
119,29.6,5,5
120,29.6,5,5
121,29.6,5,5
122,29.6,5,5
123,29.6,5,5
124,29.6,5,5
125,29.6,5,5
126,29.6,5,5
127,29.6,5,5
128,29.6,5,5
129,29.6,5,5
130,29.6,5,5
131,29.6,5,5
132,29.6,5,5
133,29.6,5,5
134,29.6,5,5
135.2,29.7,5,5
136.3,29.9,5,5
137.4,30.2,5,5
138.5,30.6,5,5
139.2,31,5,5
140.6,31.4,5,5
141.7,32,5,5
142.7,32.5,5,5
143.6,33.2,5,5
144.5,33.9,5,5
145.4,34.6,5,5
146.2,35.4,5,5
147,36.2,5,5
147.8,37.1,5,5
148.4,38.1,5,5
149.1,39,5,5
149.7,40,5,5
150.2,41,5,5
150.6,42.1,5,5
151,43.2,5,5
151.4,44.3,5,5
151.6,45.4,5,5
151.9,46.5,5,5
152,47.6,5,5
152,48.6,5,5
152,49.6,5,5
152,50.6,5,5
152,51.6,5,5
152,52.6,5,5
152,53.6,5,5
152,54.6,5,5
152,55.6,5,5
152,56.6,5,5
152,57.6,5,5
152,58.6,5,5
152,59.6,5,5
152,60.6,5,5
152,61.6,5,5
152,62.6,5,5
152,63.6,5,5
152,64.6,5,5
152,65.6,5,5
152,66.6,5,5
152,67.6,5,5
152,68.6,5,5
152,69.6,5,5
152,70.6,5,5
152,71.6,5,5
152,72.6,5,5
152,73.6,5,5
152,74.6,5,5
152,75.6,5,5
152,76.6,5,5
152,77.6,5,5
152,78.6,5,5
152,79.6,5,5
152,80.6,5,5
152,81.6,5,5
152,82.6,5,5
152,83.6,5,5
152,84.6,5,5
152,85.6,5,5
152,86.6,5,5
152,87.6,5,5
152,88.6,5,5
152,89.6,5,5
152,90.6,5,5
152,91.6,5,5
152,92.6,5,5
152,93.6,5,5
152,94.6,5,5
152,95.6,5,5
152,96.6,5,5
152,97.6,5,5
152,98.6,5,5
152,99.6,5,5
152,100.6,5,5
152,101.6,5,5
152,102.6,5,5
152,103.6,5,5
152,104.6,5,5
152,105.6,5,5
152,106.6,5,5
152,107.6,5,5
152,108.6,5,5
152,109.6,5,5
152,110.6,5,5
152,111.6,5,5
152,112.6,5,5
152,113.6,5,5
152,114.6,5,5
152,115.6,5,5
152,116.6,5,5
152,117.6,5,5
152,118.6,5,5
152,119.6,5,5
152,120.6,5,5
152,121.6,5,5
152,122.6,5,5
152,123.6,5,5
152,124.6,5,5
152,125.6,5,5
152,126.6,5,5
152,127.6,5,5
152,128.6,5,5
152,129.6,5,5
152,130.6,5,5
152,131.6,5,5
152,132.6,5,5
152,133.6,5,5
152,134.6,5,5
152,135.6,5,5
152,136.6,5,5
152,137.6,5,5
152,138.6,5,5
152,139.6,5,5
152,140.6,5,5
152,141.6,5,5
152,142.6,5,5
152,143.6,5,5
152,144.6,5,5
152,145.6,5,5
152,146.6,5,5
152,147.6,5,5
152,148.6,5,5
152,149.6,5,5
152,150.6,5,5
152,151.6,5,5
152,152.6,5,5
152,153.6,5,5
152,154.6,5,5
152,155.8,5,5
151.9,157,5,5
151.7,158.1,5,5
151.4,159.2,5,5
151,160.3,5,5
150.6,161.4,5,5
150.1,162.4,5,5
149.6,163.5,5,5
149,164.5,5,5
148.4,165.4,5,5
147.7,166.3,5,5
146.9,167.2,5,5
146.1,168,5,5
145.3,168.8,5,5
144.4,169.6,5,5
143.5,170.2,5,5
142.5,170.9,5,5
141.5,171.5,5,5
140.5,172,5,5
139.4,172.4,5,5
138.4,172.8,5,5
137.3,173.2,5,5
136.1,173.4,5,5
135,173.6,5,5
134,173.6,5,5
133,173.6,5,5
132,173.6,5,5
131,173.6,5,5
130,173.6,5,5
129,173.6,5,5
128,173.6,5,5
127,173.6,5,5
126,173.6,5,5
125,173.6,5,5
124,173.6,5,5
123,173.6,5,5
122,173.6,5,5
121,173.6,5,5
120,173.6,5,5
119,173.6,5,5
118,173.6,5,5
117,173.6,5,5
116,173.6,5,5
115,173.6,5,5
114,173.6,5,5
113,173.6,5,5
112,173.6,5,5
111,173.6,5,5
110,173.6,5,5
109,173.6,5,5
108,173.6,5,5
107,173.6,5,5
106,173.6,5,5
105,173.6,5,5
104,173.6,5,5
103,173.6,5,5
102,173.6,5,5
101,173.6,5,5
100,173.6,5,5
99,173.6,5,5
98,173.6,5,5
97,173.6,5,5
96,173.6,5,5
95,173.6,5,5
94,173.6,5,5
93,173.6,5,5
92,173.6,5,5
91,173.6,5,5
90,173.6,5,5
89,173.6,5,5
88,173.6,5,5
87,173.6,5,5
