x_m,y_m,w_tr_right_m,w_tr_left_m
0.28,0.28,0.25,0.16
0.28,0.29,0.25,0.16
0.28,0.3,0.25,0.16
0.28,0.31,0.25,0.16
0.28,0.32,0.25,0.16
0.28,0.33,0.25,0.16
0.28,0.34,0.25,0.16
0.28,0.35,0.25,0.16
0.28,0.36,0.25,0.16
0.28,0.37,0.25,0.16
0.28,0.38,0.25,0.16
0.28,0.39,0.25,0.16
0.28,0.4,0.25,0.16
0.28,0.41,0.25,0.16
0.28,0.42,0.25,0.16
0.28,0.43,0.25,0.16
0.28,0.44,0.25,0.16
0.28,0.45,0.25,0.16
0.28,0.46,0.25,0.16
0.28,0.47,0.25,0.16
0.28,0.48,0.25,0.16
0.28,0.49,0.25,0.16
0.28,0.5,0.25,0.16
0.28,0.51,0.25,0.16
0.28,0.52,0.25,0.16
0.28,0.53,0.25,0.16
0.28,0.54,0.25,0.16
0.28,0.55,0.25,0.16
0.28,0.56,0.25,0.16
0.28,0.57,0.25,0.16
0.28,0.58,0.25,0.16
0.28,0.59,0.25,0.16
0.28,0.6,0.25,0.16
0.28,0.61,0.25,0.16
0.28,0.62,0.25,0.16
0.28,0.63,0.25,0.16
0.28,0.64,0.25,0.16
0.28,0.65,0.25,0.16
0.28,0.66,0.25,0.16
0.28,0.67,0.25,0.16
0.28,0.68,0.25,0.16
0.28,0.69,0.25,0.16
0.28,0.7,0.25,0.16
0.28,0.71,0.25,0.16
0.28,0.72,0.25,0.16
0.28,0.73,0.25,0.16
0.28,0.74,0.25,0.16
0.28,0.75,0.25,0.16
0.28,0.76,0.25,0.16
0.28,0.77,0.25,0.16
0.28,0.78,0.25,0.16
0.28,0.79,0.25,0.16
0.28,0.8,0.25,0.16
0.28,0.81,0.25,0.16
0.28,0.82,0.25,0.16
0.28,0.83,0.25,0.16
0.28,0.84,0.25,0.16
0.28,0.85,0.25,0.16
0.28,0.86,0.25,0.16
0.28,0.87,0.25,0.16
0.28,0.88,0.25,0.16
0.28,0.89,0.25,0.16
0.28,0.9,0.25,0.16
0.28,0.91,0.25,0.16
0.28,0.92,0.25,0.16
0.28,0.93,0.25,0.16
0.28,0.94,0.25,0.16
0.28,0.95,0.25,0.16
0.28,0.96,0.25,0.16
0.28,0.97,0.25,0.16
0.28,0.98,0.25,0.16
0.28,0.99,0.25,0.16
0.28,1,0.25,0.16
0.28,1.01,0.25,0.16
0.28,1.02,0.25,0.16
0.28,1.03,0.25,0.16
0.28,1.04,0.25,0.16
0.28,1.05,0.25,0.16
0.28,1.06,0.25,0.16
0.28,1.07,0.25,0.16
0.28,1.08,0.25,0.16
0.28,1.09,0.25,0.16
0.28,1.1,0.25,0.16
0.28,1.11,0.25,0.16
0.28,1.12,0.25,0.16
0.28,1.13,0.25,0.16
0.28,1.14,0.25,0.16
0.28,1.15,0.25,0.16
0.28,1.16,0.25,0.16
0.28,1.17,0.25,0.16
0.28,1.18,0.25,0.16
0.28,1.19,0.25,0.16
0.28,1.2,0.25,0.16
0.28,1.21,0.25,0.16
0.28,1.22,0.25,0.16
0.28,1.23,0.25,0.16
0.28,1.24,0.25,0.16
0.28,1.25,0.25,0.16
0.28,1.26,0.25,0.16
0.28,1.27,0.25,0.16
0.28,1.28,0.25,0.16
0.28,1.29,0.25,0.16
0.28,1.3,0.25,0.16
0.28,1.31,0.25,0.16
0.28,1.32,0.25,0.16
0.28,1.33,0.25,0.16
0.28,1.34,0.25,0.16
0.28,1.35,0.25,0.16
0.28,1.36,0.25,0.16
0.28,1.37,0.25,0.16
0.28,1.38,0.25,0.16
0.28,1.39,0.25,0.16
0.28,1.4,0.25,0.16
0.28,1.41,0.25,0.16
0.28,1.42,0.25,0.16
0.28,1.43,0.25,0.16
0.28,1.44,0.25,0.16
0.28,1.45,0.25,0.16
0.28,1.46,0.25,0.16
0.28,1.47,0.25,0.16
0.28,1.48,0.25,0.16
0.28,1.49,0.25,0.16
0.28,1.5,0.25,0.16
0.28,1.51,0.25,0.16
0.28,1.52,0.25,0.16
0.28,1.53,0.25,0.16
0.28,1.54,0.25,0.16
0.28,1.55,0.25,0.16
0.28,1.56,0.25,0.16
0.28,1.57,0.25,0.16
0.28,1.58,0.25,0.16
0.28,1.59,0.25,0.16
0.28,1.6,0.25,0.16
0.28,1.61,0.25,0.16
0.28,1.62,0.25,0.16
0.28,1.63,0.25,0.16
0.28,1.64,0.25,0.16
0.28,1.65,0.25,0.16
0.28,1.66,0.25,0.16
0.28,1.67,0.25,0.16
0.28,1.68,0.25,0.16
0.28,1.69,0.25,0.16
0.28,1.7,0.25,0.16
0.28,1.71,0.25,0.16
0.28,1.72,0.25,0.16
0.29,1.72,0.25,0.16
0.3,1.72,0.25,0.16
0.31,1.72,0.25,0.16
0.32,1.72,0.25,0.16
0.33,1.72,0.25,0.16
0.34,1.72,0.25,0.16
0.35,1.72,0.25,0.16
0.36,1.72,0.25,0.16
0.37,1.72,0.25,0.16
0.38,1.72,0.25,0.16
0.39,1.72,0.25,0.16
0.4,1.72,0.25,0.16
0.41,1.72,0.25,0.16
0.42,1.72,0.25,0.16
0.43,1.72,0.25,0.16
0.44,1.72,0.25,0.16
0.45,1.72,0.25,0.16
0.46,1.72,0.25,0.16
0.47,1.72,0.25,0.16
0.48,1.72,0.25,0.16
