x_m,y_m,w_tr_right_m,w_tr_left_m
91.1,716.8,30,30
111.1,716.8,30,30
131.1,716.8,30,30
151.1,716.8,30,30
171.1,716.8,30,30
191.1,716.8,30,30
211.1,716.8,30,30
231.1,716.8,30,30
251.1,716.8,30,30
271.1,716.8,30,30
291.1,716.8,30,30
311.1,716.8,30,30
331.1,716.8,30,30
351.1,716.8,30,30
371.1,716.8,30,30
391.1,716.8,30,30
411.1,716.8,30,30
431.1,716.8,30,30
451.1,716.8,30,30
471.1,716.8,30,30
491.1,716.8,30,30
511.1,716.8,30,30
531.1,716.8,30,30
551.1,716.8,30,30
571.1,716.8,30,30
591.1,716.8,30,30
611.1,716.8,30,30
631.1,716.8,30,30
651.1,716.8,30,30
671.1,716.8,30,30
691.1,716.8,30,30
711.1,716.8,30,30
731.1,716.8,30,30
751.1,716.8,30,30
771.1,716.8,30,30
791.1,716.8,30,30
811.1,716.8,30,30
831.1,716.8,30,30
851.1,716.8,30,30
871.1,716.8,30,30
891.1,716.8,30,30
911.1,716.8,30,30
931.1,716.8,30,30
951.1,716.8,30,30
971.1,716.8,30,30
991.1,716.8,30,30
1011.1,716.8,30,30
1031.1,716.8,30,30
1051.1,716.8,30,30
1071.1,716.8,30,30
1091.1,716.8,30,30
1111.1,716.8,30,30
1131.1,716.8,30,30
1151.1,716.8,30,30
1171.1,716.8,30,30
1191.1,716.8,30,30
1211.1,716.8,30,30
1231.1,716.8,30,30
1251.1,716.8,30,30
1271.1,716.8,30,30
1291.1,716.8,30,30
1311.1,716.8,30,30
1331.1,716.8,30,30
1351.1,716.8,30,30
1371.1,716.8,30,30
1391.1,716.8,30,30
1411.1,716.8,30,30
1431.1,716.8,30,30
1451.1,716.8,30,30
1471.1,716.8,30,30
1491.1,716.8,30,30
1511.1,716.8,30,30
1531.1,716.8,30,30
1551.1,716.8,30,30
1571.1,716.8,30,30
1591.1,716.8,30,30
1611.1,716.8,30,30
1631.1,716.8,30,30
1664.4,702.2,30,30
1683.1,692.1,30,30
1699.2,681.2,30,30
1714.6,669.4,30,30
1729.5,656.8,30,30
1743.6,643.5,30,30
1757,629.4,30,30
1769.7,614.6,30,30
1781.5,599.1,30,30
1792.5,583.1,30,30
1802.7,566.5,30,30
1811.9,549.3,30,30
1820.2,531.8,30,30
1827.6,513.7,30,30
1834,495.4,30,30
1839.4,476.7,30,30
1843.8,457.7,30,30
1847.2,438.6,30,30
1849.5,419.2,30,30
1850.8,399.8,30,30
1851.1,380.4,30,30
1850.4,360.9,30,30
1848.6,341.6,30,30
1845.8,322.3,30,30
1842,303.2,30,30
1837.2,284.4,30,30
1831.3,265.8,30,30
1824.5,247.6,30,30
1816.8,229.7,30,30
1808.1,212.3,30,30
1798.4,195.4,30,30
1787.9,179,30,30
1776.6,163.3,30,30
1764.4,148.1,30,30
1751.4,133.6,30,30
1737.7,119.8,30,30
1723.2,106.8,30,30
1708.1,94.5,30,30
1692.3,83.1,30,30
1676,72.5,30,30
1659.1,62.8,30,30
1641.8,54.1,30,30
1624,46.2,30,30
1605.8,39.4,30,30
1587.2,33.4,30,30
1568.4,28.5,30,30
1549.3,24.6,30,30
1530.1,21.8,30,30
1510.7,19.9,30,30
1491.3,19.1,30,30
1471.8,19.3,30,30
1452.4,20.6,30,30
1433.1,22.9,30,30
1413.9,26.2,30,30
1394.9,30.5,30,30
1376.2,35.9,30,30
1357.8,42.2,30,30
1339.8,49.5,30,30
1322.1,57.7,30,30
1309.3,64.1,30,30
1296.5,70.4,30,30
1278.7,79.4,30,30
1260.8,88.3,30,30
1242.9,97.3,30,30
1225,106.3,30,30
1207.1,115.2,30,30
1189.3,124.2,30,30
1171.4,133.2,30,30
1153.5,142.1,30,30
1135.6,151.1,30,30
1117.8,160.1,30,30
1099.9,169,30,30
1082,178,30,30
1064.1,186.9,30,30
1046.2,195.9,30,30
1028.4,204.9,30,30
1010.5,213.8,30,30
992.6,222.8,30,30
974.7,231.8,30,30
956.9,240.7,30,30
939,249.7,30,30
921.1,258.7,30,30
903.2,267.6,30,30
885.3,276.6,30,30
867.5,285.6,30,30
849.6,294.5,30,30
831.7,303.5,30,30
813.8,312.5,30,30
795.9,321.4,30,30
778.1,330.4,30,30
759,338.4,30,30
739.3,344.6,30,30
719,348.8,30,30
698.4,351,30,30
677.8,351.2,30,30
657.2,349.4,30,30
636.8,345.7,30,30
616.9,339.9,30,30
597.7,332.3,30,30
578.9,323.4,30,30
561.9,314.5,30,30
544,305.5,30,30
526.1,296.6,30,30
508.2,287.7,30,30
490.3,278.7,30,30
472.5,269.8,30,30
454.6,260.9,30,30
436.7,251.9,30,30
418.8,243,30,30
400.9,234.1,30,30
383,225.1,30,30
365.1,216.2,30,30
347.2,207.3,30,30
329.3,198.3,30,30
311.4,189.4,30,30
293.5,80.5,30,30
275.6,171.5,30,30
257.7,162.6,30,30
239.8,153.7,30,30
221.9,144.7,30,30
204,135.8,30,30
186.1,126.9,30,30
168.3,117.9,30,30
150.4,109,30,30
132.5,100.1,30,30
114.6,91.1,30,30
95.5,81.8,30,30
77.8,77.5,30,30
59.8,80.5,30,30
44.4,90.3,30,30
34.1,105.3,30,30
30.5,123.2,30,30
30.5,143.2,30,30
30.5,163.2,30,30
30.5,183.2,30,30
30.5,203.2,30,30
30.5,223.2,30,30
30.5,243.2,30,30
30.5,263.2,30,30
30.5,283.2,30,30
30.5,303.2,30,30
30.5,323.2,30,30
30.5,343.2,30,30
30.5,363.2,30,30
30.5,383.2,30,30
30.5,403.2,30,30
30.5,423.2,30,30
30.5,443.2,30,30
30.5,463.2,30,30
30.5,483.2,30,30
30.5,503.2,30,30
30.5,523.2,30,30
30.5,543.2,30,30
30.5,563.2,30,30
30.5,583.2,30,30
30.5,603.2,30,30
30.5,623.2,30,30
30.5,643.2,30,30
30.5,663.2,30,30
37.1,684.1,30,30
50.7,701.4,30,30
69.5,712.7,30,30
